PROJECT_ID,LATIN_NAME,STATION_CODE,STATION_NAME,LONGITUDE,LATITUDE,PARAM,N,Conc,SPECIES_ID,TISSUE_NAME,NIVA_CODE,trend
3699,Mytilus edulis,22A,Espevær, Outer Bømlafjord,5.15203,59.58711,CD,NA,0.093,17,Whole soft body,SB,1
3699,Mytilus edulis,26A2,Vågsvåg, Outer Nordfjord,5.04878333333333,61.9362166666667,CD,NA,0.15,17,Whole soft body,SB,1
3699,Mytilus edulis,28A2,NA,NA,NA,CD,NA,0.14,17,Whole soft body,SB,0
3699,Mytilus edulis,30A,Gressholmen,  Inner Oslofjord,10.711,59.88362,CD,NA,0.18,17,Whole soft body,SB,3
3699,Mytilus edulis,31A,Solbergstrand, Mid Oslofjord,10.6515,59.6155,CD,NA,0.19,17,Whole soft body,SB,1
3699,Mytilus edulis,35A,Mølen, Mid Oslofjord,10.49499,59.48359,CD,NA,0.16,17,Whole soft body,SB,1
3699,Mytilus edulis,36A,Færder, Outer Oslofjord,10.525,59.0274,CD,NA,0.16,17,Whole soft body,SB,0
3699,Mytilus edulis,52A,Eitrheimsneset, Inner Sørfjord,6.532933,60.096771,CD,NA,0.45,17,Whole soft body,SB,1
3699,Mytilus edulis,57A,Krossanes, Outer Sørfjord,6.689524,60.387073,CD,NA,0.22,17,Whole soft body,SB,3
3699,Mytilus edulis,63A,Ranaskjer, Ålvik, Hardangerfjord,6.40502,60.42096,CD,NA,0.18,17,Whole soft body,SB,3
3699,Mytilus edulis,64A,Utne, Outer Sørfjord,6.6223,60.4239,CD,NA,0.23,17,Whole soft body,SB,1
3699,Mytilus edulis,65A,Vikingneset, Mid Hardangerfjord,6.15266666666667,60.2423333333333,CD,NA,0.14,17,Whole soft body,SB,3
3699,Mytilus edulis,69A,Terøya, Outer Hardangerfjord,5.7545,59.984,CD,NA,0.13,17,Whole soft body,SB,3
3699,Mytilus edulis,71A,Bjørkøya, Langesundfjord,9.75366666666667,59.0233333333333,CD,NA,0.21,17,Whole soft body,SB,1
